TB3MS,TB6MS,GS1,GS3,GS5,GS7,GS10
7.87,7.78,8.10,8.24,8.17,7.73,7.79
7.13,7.22,7.59,7.79,7.82,7.51,7.24
6.63,6.58,6.97,7.15,7.21,7.13,7.07
6.51,6.60,7.06,7.39,7.50,7.45,7.39
6.84,7.02,7.75,7.94,7.97,7.93,7.91
6.68,6.86,7.55,7.84,7.85,7.84,7.84
6.45,6.51,7.10,7.56,7.59,7.61,7.46
6.41,6.55,6.98,7.46,7.57,7.59,7.53
6.12,6.46,6.73,7.11,7.29,7.40,7.39
5.91,6.21,6.43,6.96,7.12,7.32,7.33
5.28,5.42,5.51,6.25,6.47,6.76,6.84
4.87,4.89,5.00,5.75,5.95,6.23,6.39
4.44,4.47,4.57,5.61,5.89,6.16,6.24
3.70,3.78,3.89,5.07,5.56,5.94,6.11
3.38,3.50,3.69,4.50,5.00,5.42,5.70
3.86,4.03,4.30,5.22,5.65,5.87,5.83
4.14,4.36,5.04,5.97,6.28,6.42,6.39
4.75,4.97,5.64,6.32,6.53,6.65,6.52
5.40,5.63,6.04,6.74,6.85,6.92,6.73
4.94,5.22,5.80,6.35,6.55,6.67,6.58
4.69,4.97,5.41,5.89,6.14,6.20,6.14
4.46,4.60,4.91,5.56,5.93,5.98,5.93
4.22,4.38,4.67,5.35,5.78,5.94,5.81
4.01,4.23,4.60,5.27,5.69,5.97,5.93
3.38,3.66,4.28,5.14,5.59,5.91,5.95
3.20,3.63,4.27,5.25,5.69,5.99,6.08
3.73,4.12,4.67,5.56,5.87,6.05,6.07
3.71,4.23,4.96,5.88,6.17,6.22,6.19
3.69,4.12,4.64,5.55,5.85,6.07,6.13
3.91,4.35,4.93,5.64,5.91,6.06,6.11
3.98,4.50,4.96,5.78,5.97,6.09,6.11
4.02,4.55,4.98,5.79,6.02,6.19,6.21
4.66,5.13,5.52,6.06,6.25,6.43,6.55
4.74,5.13,5.52,6.05,6.18,6.35,6.48
4.78,5.09,5.27,5.94,6.12,6.18,6.28
5.07,5.30,5.52,6.01,6.16,6.20,6.36
5.41,5.62,5.89,6.27,6.34,6.36,6.46
5.60,5.83,6.19,6.58,6.60,6.60,6.64
6.09,6.51,6.85,6.86,6.80,6.76,6.71
6.26,6.52,6.85,6.78,6.67,6.67,6.67
6.36,6.62,6.89,6.83,6.80,6.83,6.85
7.19,7.23,7.31,6.84,6.69,6.81,6.90
8.01,8.12,8.39,7.54,7.33,7.23,7.13
8.67,8.65,8.82,7.89,7.63,7.52,7.40
8.29,8.45,8.31,7.25,7.05,7.08,7.09
7.22,7.32,7.40,6.81,6.77,6.78,6.79
7.83,7.96,7.57,7.00,6.92,6.89,6.73
7.45,7.56,7.27,6.81,6.80,6.77,6.74
7.77,7.65,7.42,6.96,6.95,6.88,6.99
7.12,6.96,6.88,6.76,6.82,6.92,6.96
7.96,7.83,7.76,7.35,7.31,7.34,7.21
8.33,8.32,8.62,8.05,7.92,7.77,7.51
8.23,8.40,8.78,8.27,8.18,7.93,7.58
7.90,8.12,8.67,8.15,8.10,7.90,7.54
7.55,7.94,8.80,8.41,8.38,8.19,7.81
8.96,9.11,9.36,8.66,8.63,8.41,8.04
8.06,8.53,8.87,8.41,8.37,8.25,8.04
7.46,7.74,8.05,8.00,7.97,7.92,7.90
7.47,7.52,7.66,7.61,7.68,7.68,7.68
7.15,7.11,7.31,7.24,7.31,7.38,7.43
6.26,6.36,6.83,7.23,7.41,7.45,7.50
5.50,5.62,5.98,6.65,7.11,7.30,7.39
5.49,5.62,6.11,6.81,7.30,7.58,7.73
5.61,6.00,6.90,7.76,7.99,8.10,8.23
5.23,5.59,6.39,7.39,7.72,7.90,8.06
5.34,5.61,6.29,7.17,7.51,7.69,7.86
6.13,6.50,7.11,7.72,7.92,7.99,8.06
6.44,6.94,7.70,8.16,8.33,8.37,8.40
6.42,6.92,7.75,8.29,8.37,8.39,8.43
5.96,6.25,6.95,7.81,7.97,8.06,8.14
5.48,5.80,6.49,7.46,7.80,7.98,8.05
5.44,5.85,6.60,7.43,7.76,7.93,8.00
4.87,5.14,5.81,6.99,7.46,7.67,7.74
4.88,5.20,5.91,7.06,7.45,7.72,7.79
5.00,5.44,6.21,7.13,7.49,7.65,7.73
4.86,5.18,5.92,6.84,7.25,7.44,7.56
5.20,5.62,6.40,7.27,7.59,7.77,7.90
5.41,5.77,6.52,7.31,7.61,7.75,7.86
5.23,5.53,6.20,7.12,7.49,7.70,7.83
5.14,5.40,6.00,6.86,7.31,7.58,7.77
